,train_acc,test_acc
i0_c0,0.7275641025641025,0.1004
i0_c1,0.7339743589743589,0.0896
i0_c2,0.6282051282051282,0.0721
i0_c3,0.7467948717948718,0.0997
i0_c4,0.7339743589743589,0.0812
i0_c5,0.6987179487179487,0.0765
i0_c6,0.7243589743589743,0.0806
i0_c7,0.842948717948718,0.098
i0_c8,0.7243589743589743,0.1148
i0_c9,0.7019230769230769,0.0826
i0_c10,0.7596153846153846,0.1082
i0_c11,0.7692307692307693,0.1015
i0_c12,0.7467948717948718,0.1056
i0_c13,0.6538461538461539,0.0967
i0_c14,0.8076923076923077,0.1005
i0_c15,0.7788461538461539,0.104
i0_c16,0.8173076923076923,0.1086
i0_c17,0.8076923076923077,0.1058
i0_c18,0.8141025641025641,0.1079
i0_c19,0.7916666666666666,0.1113
i0_c20,0.7435897435897436,0.078
i0_c21,0.7660256410256411,0.0853
i0_c22,0.7147435897435898,0.0962
i0_c23,0.6506410256410257,0.0876
i0_c24,0.6442307692307693,0.0732
i0_c25,0.7660256410256411,0.0851
i0_c26,0.7019230769230769,0.0873
i0_c27,0.6987179487179487,0.1022
i0_c28,0.7115384615384616,0.0622
i0_c29,0.7467948717948718,0.1046
i0_c30,0.7692307692307693,0.092
i0_c31,0.8173076923076923,0.1126
i0_g,0.093,0.0785
i1_c0,0.7948717948717948,0.1575
i1_c1,0.7564102564102564,0.1235
i1_c2,0.7628205128205128,0.1179
i1_c3,0.8108974358974359,0.1354
i1_c4,0.8205128205128205,0.1367
i1_c5,0.7275641025641025,0.1138
i1_c6,0.782051282051282,0.1184
i1_c7,0.8846153846153846,0.1393
i1_c8,0.8076923076923077,0.1621
i1_c9,0.782051282051282,0.1186
i1_c10,0.8205128205128205,0.1632
i1_c11,0.782051282051282,0.1393
i1_c12,0.8044871794871795,0.1562
i1_c13,0.7307692307692307,0.1204
i1_c14,0.8685897435897436,0.1538
i1_c15,0.8333333333333334,0.1628
i1_c16,0.8365384615384616,0.1489
i1_c17,0.8621794871794872,0.1598
i1_c18,0.7980769230769231,0.1603
i1_c19,0.8269230769230769,0.1645
i1_c20,0.8173076923076923,0.1272
i1_c21,0.8269230769230769,0.1362
i1_c22,0.782051282051282,0.1429
i1_c23,0.7371794871794872,0.1164
i1_c24,0.6987179487179487,0.1009
i1_c25,0.8173076923076923,0.1293
i1_c26,0.7628205128205128,0.1257
i1_c27,0.7916666666666666,0.1645
i1_c28,0.7980769230769231,0.1093
i1_c29,0.7852564102564102,0.1473
i1_c30,0.8461538461538461,0.1586
i1_c31,0.8589743589743589,0.1604
i1_g,0.1945,0.1562
i2_c0,0.8269230769230769,0.1976
i2_c1,0.8012820512820513,0.1739
i2_c2,0.7852564102564102,0.1465
i2_c3,0.8525641025641025,0.1854
i2_c4,0.8589743589743589,0.1802
i2_c5,0.8205128205128205,0.1752
